Disease,Symptom,Medicine
Heart Disease,Muscle Weakness,Isoniazid
Bronchitis,Joint Pain,Adalimumab
Eczema,Night Sweats,Budesonide
Sinusitis,Diarrhea,Terbinafine
Osteoporosis,Shortness of breath,Ciprofloxacin
Acne,Fever,Prednisone
Malaria,High Blood Pressure,Ibuprofen
Chronic Kidney Disease,Night Sweats,Ciprofloxacin
Migraine,Joint Pain,Aspirin
Bronchitis,Chest Pain,Metformin
Influenza,Diarrhea,Loratadine
Pneumonia,Headache,Aspirin
Acne,Loss of Appetite,Levothyroxine
COVID-19,Abdominal Pain,Budesonide
Lung Cancer,Red Eyes,Paracetamol
Chronic Kidney Disease,Weight Loss,Sildenafil
Heart Disease,Blurred Vision,Levothyroxine
Typhoid,High Blood Pressure,Metformin
Epilepsy,Headache,Metformin
Hypertension,Back Pain,Ondansetron
Hepatitis,Tremors,Omeprazole
Chickenpox,Back Pain,Azithromycin
Pneumonia,Nausea,Calamine Lotion
Tuberculosis,Muscle Weakness,Sildenafil
Glaucoma,Dizziness,Propranolol
Jaundice,Shortness of breath,Terbinafine
Asthma,Itching,Levothyroxine
Dengue,Swelling,Ciprofloxacin
Vertigo,Muscle Weakness,Propranolol
Osteoporosis,Abdominal Pain,Adalimumab
Arthritis,Diarrhea,Ondansetron
Multiple Sclerosis,Abdominal Pain,Ciprofloxacin
Fungal Infection,Swelling,Omeprazole
Epilepsy,Shortness of breath,Ranitidine
Allergy,Rapid Heartbeat,Budesonide
Psoriasis,Skin Rash,Prednisone
Gastroenteritis,Back Pain,Calamine Lotion
Acne,Swollen Lymph Nodes,Omeprazole
Multiple Sclerosis,Loss of Appetite,Propranolol
Sinusitis,Skin Rash,Azithromycin
Chronic Kidney Disease,Joint Pain,Budesonide
Bronchitis,Cough,Chloroquine
Heart Disease,Nausea,Metformin
Lung Cancer,Loss of Appetite,Amoxicillin
Dengue,Sore Throat,Omeprazole
Psoriasis,Chest Pain,Sildenafil
Peptic Ulcer,Red Eyes,Amoxicillin
Common Cold,Numbness,Prednisone
Heart Disease,Runny Nose,Glibenclamide
Migraine,Weight Loss,Losartan
Urinary Tract Infection,Nausea,Rifampin
Zika Virus,Blurred Vision,Azithromycin
Malaria,Swollen Lymph Nodes,Levothyroxine
Sinusitis,High Blood Pressure,Budesonide
Chronic Kidney Disease,Joint Pain,Doxycycline
Glaucoma,Blurred Vision,Topiramate
Typhoid,Tremors,Isoniazid
Psoriasis,Swelling,Terbinafine
Whooping Cough,Blurred Vision,Loratadine
Typhoid,Weight Loss,Metformin
Lung Cancer,Tremors,Terbinafine
Gastroenteritis,Chest Pain,Amoxicillin
Heart Disease,Skin Rash,Propranolol
Tuberculosis,Diarrhea,Sildenafil
Hypertension,Weight Loss,Glibenclamide
Peptic Ulcer,Swollen Lymph Nodes,Loperamide
Glaucoma,Joint Pain,Budesonide
Sinusitis,Fever,Doxycycline
Hypertension,Itching,Budesonide
Asthma,Diarrhea,Chloroquine
Whooping Cough,Swollen Lymph Nodes,Sildenafil
COVID-19,High Blood Pressure,Loratadine
Common Cold,Headache,Omeprazole
Fungal Infection,Dizziness,Loratadine
Heart Disease,Joint Pain,Loratadine
Hepatitis,Skin Rash,Terbinafine
Glaucoma,Cough,Budesonide
Multiple Sclerosis,Runny Nose,Ondansetron
Ulcerative Colitis,High Blood Pressure,Ibuprofen
Dengue,Chest Pain,Omeprazole
Vertigo,Itching,Chloroquine
Tuberculosis,Fatigue,Paracetamol
Arthritis,Cough,Sumatriptan
Epilepsy,Back Pain,Losartan
