Symptoms,Recommended Medicine,Diet Recommendation
Symptoms","""Recommended Medicine""","""Diet Recommendation"
"Fever, cough, runny nose, sore throat""","""Acetaminophen (paracetamol)""","""Plenty of fluids, warm soup, soft bland foods"
,,
"Cough, sneezing, nasal congestion, mild fever""","""Antihistamine (loratadine)""","Warm liquids (like tea), soup, honey for throat"
,,
"High fever, body aches, chills, fatigue, cough""","""Acetaminophen (paracetamol)"" ","Fluid intake, nutritious soup, soft foods"
,,
"Fever, headache, muscle aches, exhaustion""","""Ibuprofen (NSAID)""","""Hydration,high-protein diet, lots of fruits"
,,
"Sneezing, itchy eyes, runny nose, scratchy throat""","""Cetirizine (antihistamine)""","Avoid allergens, drink herbal tea, light balanced meals"
,,
"Itchy eyes, nasal congestion, sneezing, headache""","""Loratadine (antihistamine)""","Avoid dairy and allergens, plenty of water and fresh fruits"
,,
"Wheezing, shortness of breath, chest tightness, cough""","""Inhaler (albuterol)""","Avoid cold air and allergens, well-balanced diet"
,,
"Persistent cough, mucus production, fever, fatigue""","""Cough expectorant (guaifenesin)""","Warm fluids, avoid dairy, nutritious soft foods"
,,
"Facial pain, nasal congestion, headache, thick nasal discharge""","""Nasal decongestant spray""","Warm fluids, steam inhalation, soft bland diet"
,,
"Severe sore throat, fever, swollen glands, headache""","""Antibiotic (amoxicillin)""","Warm liquids, soft foods, avoid spicy or acidic foods"
,,
"Ear pain, fever, headache, muffled hearing""","""Antibiotic (amoxicillin)""","""Warm fluids, rest, avoid water in ear"
,,
"Runny nose, headache, facial pressure, cough""","""Acetaminophen (paracetamol)""","""Steam inhalation, plenty of fluids, light meals"
,,
"Hoarseness, sore throat, cough, difficulty speaking""","""Throat lozenges""","""Warm  tea with honey, soft diet, avoid cold drinks"
,,
"Sore throat, mild fever, cough, fatigue""","""Acetaminophen (paracetamol)""","""Warm broths, soft bland foods, honey"
,,
"Itchy skin rash, hives, sneezing, watery eyes""","""Antihistamine (diphenhydramine)""","Avoid allergens, cool compress on rash, light diet"
,,
"Nausea, vomiting, diarrhea, stomach cramps""","""Oral rehydration solution (ORS)""","Bland diet (bananas, rice, applesauce, toast)"
,,
"Abdominal pain, bloating, constipation, gas""","""Fiber supplement (psyllium)""","High-fiber diet (fruits, vegetables, whole grains) with plenty of water"
,,
,,
"Acid reflux, heartburn, regurgitation, belching""","""Proton pump inhibitor (omeprazole)""","""Avoid spicy/fatty foods, small frequent meals, stay upright after eating"
,,
,,
"Diarrhea, dehydration, weakness, thirst""","""Oral rehydration solution (ORS)""","""Clear fluids, electrolytes, bland foods like broth and toast"
,,
"Indigestion, bloating, gas, mild abdominal pain""","""Antacid (calcium carbonate)""","""Eat smaller meals, avoid gas-producing foods, chew food slowly"
,,
"Constipation, straining, bloating, discomfort""","""Laxative (polyethylene glycol)""","High-fiber diet, prune juice, lots of water"
,,
,,
,,
,,
1,,
,,
"Nausea after eating, fullness, gas, mild pain""","""Antacid (ranitidine)""","""Avoid spicy/greasy food, eat small frequent meals"
,,
